Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
29.6,2024-04-22 12:00:00,NFO,30-MAY-2024,29.6,29.6,29.6,91200,Options,Call,NESIND,2600.0,400
29.6,2024-04-22 12:01:00,NFO,30-MAY-2024,29.6,29.6,29.6,91200,Options,Call,NESIND,2600.0,800
29.6,2024-04-22 12:03:00,NFO,30-MAY-2024,29.6,29.6,29.6,91200,Options,Call,NESIND,2600.0,0
29.6,2024-04-22 12:04:00,NFO,30-MAY-2024,29.6,29.6,29.6,91200,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:05:00,NFO,30-MAY-2024,29.0,29.0,29.0,90400,Options,Call,NESIND,2600.0,800
29.0,2024-04-22 12:06:00,NFO,30-MAY-2024,29.0,29.0,29.0,90400,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:07:00,NFO,30-MAY-2024,29.0,29.0,29.0,90400,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:08:00,NFO,30-MAY-2024,29.0,29.0,29.0,90400,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:09:00,NFO,30-MAY-2024,29.0,29.0,29.0,90400,Options,Call,NESIND,2600.0,0
28.6,2024-04-22 12:10:00,NFO,30-MAY-2024,29.0,28.6,29.0,91200,Options,Call,NESIND,2600.0,400
28.6,2024-04-22 12:11:00,NFO,30-MAY-2024,28.6,28.6,28.6,91200,Options,Call,NESIND,2600.0,0
28.6,2024-04-22 12:12:00,NFO,30-MAY-2024,28.6,28.6,28.6,91200,Options,Call,NESIND,2600.0,0
28.6,2024-04-22 12:13:00,NFO,30-MAY-2024,28.6,28.6,28.6,91200,Options,Call,NESIND,2600.0,0
28.6,2024-04-22 12:14:00,NFO,30-MAY-2024,28.6,28.6,28.6,91200,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:15:00,NFO,30-MAY-2024,29.0,28.6,28.6,91200,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:16:00,NFO,30-MAY-2024,29.0,29.0,29.0,91200,Options,Call,NESIND,2600.0,400
29.0,2024-04-22 12:17:00,NFO,30-MAY-2024,29.0,29.0,29.0,91200,Options,Call,NESIND,2600.0,0
