Close,datetime,exchange_code,High,Low,Open,stock_code,Volume
2525.6,2024-05-08 12:28:49,NSE,2525.6,2525.6,2525.6,NESIND,9
2524.85,2024-05-08 12:28:50,NSE,2524.85,2524.85,2524.85,NESIND,13
2524.85,2024-05-08 12:28:51,NSE,2524.85,2524.85,2524.85,NESIND,3
2524.85,2024-05-08 12:28:52,NSE,2524.85,2524.85,2524.85,NESIND,0
2525.6,2024-05-08 12:28:53,NSE,2525.6,2525.6,2525.6,NESIND,3
2525.6,2024-05-08 12:28:54,NSE,2525.6,2525.6,2525.6,NESIND,0
2524.85,2024-05-08 12:28:55,NSE,2524.85,2524.85,2524.85,NESIND,6
2525.6,2024-05-08 12:28:57,NSE,2525.6,2525.6,2525.6,NESIND,1
2525.95,2024-05-08 12:28:58,NSE,2525.95,2525.95,2525.95,NESIND,54
2524.9,2024-05-08 12:28:59,NSE,2524.9,2524.9,2524.9,NESIND,9
2524.9,2024-05-08 12:29:00,NSE,2524.9,2524.9,2524.9,NESIND,108
2524.9,2024-05-08 12:29:01,NSE,2524.9,2524.9,2524.9,NESIND,17
2524.9,2024-05-08 12:29:02,NSE,2524.9,2524.9,2524.9,NESIND,4
2524.9,2024-05-08 12:29:03,NSE,2524.9,2524.9,2524.9,NESIND,1
2524.9,2024-05-08 12:29:04,NSE,2524.9,2524.9,2524.9,NESIND,0
2525.95,2024-05-08 12:29:05,NSE,2525.95,2525.95,2525.95,NESIND,2
2524.85,2024-05-08 12:29:06,NSE,2524.85,2524.85,2524.85,NESIND,52
2524.85,2024-05-08 12:29:07,NSE,2524.85,2524.85,2524.85,NESIND,1
2524.9,2024-05-08 12:29:08,NSE,2524.9,2524.9,2524.9,NESIND,10
2524.85,2024-05-08 12:29:09,NSE,2524.9,2524.85,2524.9,NESIND,78
2525.95,2024-05-08 12:29:11,NSE,2525.95,2525.95,2525.95,NESIND,2
2525.95,2024-05-08 12:29:12,NSE,2525.95,2525.95,2525.95,NESIND,0
2525.95,2024-05-08 12:29:13,NSE,2525.95,2525.95,2525.95,NESIND,1
2525.25,2024-05-08 12:29:14,NSE,2525.25,2525.25,2525.25,NESIND,377
2524.95,2024-05-08 12:29:15,NSE,2524.95,2524.95,2524.95,NESIND,31
2524.95,2024-05-08 12:29:16,NSE,2524.95,2524.95,2524.95,NESIND,1
2524.95,2024-05-08 12:29:17,NSE,2525.0,2524.95,2525.0,NESIND,89
2525.0,2024-05-08 12:29:19,NSE,2525.0,2525.0,2525.0,NESIND,216
2526.2,2024-05-08 12:29:20,NSE,2526.2,2526.2,2526.2,NESIND,80
2524.85,2024-05-08 12:29:21,NSE,2524.85,2524.85,2524.85,NESIND,77
2524.85,2024-05-08 12:29:22,NSE,2524.85,2524.85,2524.85,NESIND,5
2526.15,2024-05-08 12:29:23,NSE,2526.15,2526.15,2526.15,NESIND,38
2524.85,2024-05-08 12:29:24,NSE,2524.85,2524.85,2524.85,NESIND,7
2525.05,2024-05-08 12:29:25,NSE,2525.05,2525.05,2525.05,NESIND,233
2524.85,2024-05-08 12:29:26,NSE,2524.85,2524.85,2524.85,NESIND,41
2524.9,2024-05-08 12:29:27,NSE,2524.9,2524.9,2524.9,NESIND,67
2524.85,2024-05-08 12:29:28,NSE,2524.85,2524.85,2524.85,NESIND,15
2526.15,2024-05-08 12:29:29,NSE,2526.15,2526.15,2526.15,NESIND,2
2525.0,2024-05-08 12:29:30,NSE,2525.0,2525.0,2525.0,NESIND,230
2524.85,2024-05-08 12:29:32,NSE,2524.85,2524.85,2524.85,NESIND,4
2524.85,2024-05-08 12:29:34,NSE,2524.85,2524.85,2524.85,NESIND,6
2525.0,2024-05-08 12:29:35,NSE,2525.0,2525.0,2525.0,NESIND,4
2524.85,2024-05-08 12:29:36,NSE,2524.85,2524.85,2524.85,NESIND,249
2525.5,2024-05-08 12:29:37,NSE,2525.5,2525.5,2525.5,NESIND,438
2525.4,2024-05-08 12:29:38,NSE,2525.4,2525.4,2525.4,NESIND,375
2524.85,2024-05-08 12:29:39,NSE,2524.85,2524.85,2524.85,NESIND,9
2524.85,2024-05-08 12:29:40,NSE,2524.85,2524.85,2524.85,NESIND,0
2524.85,2024-05-08 12:29:41,NSE,2524.85,2524.85,2524.85,NESIND,0
2525.35,2024-05-08 12:29:42,NSE,2525.35,2525.35,2525.35,NESIND,96
2524.45,2024-05-08 12:29:43,NSE,2524.45,2524.45,2524.45,NESIND,34
2524.45,2024-05-08 12:29:44,NSE,2524.45,2524.45,2524.45,NESIND,1
2524.45,2024-05-08 12:29:45,NSE,2524.45,2524.45,2524.45,NESIND,5
2525.4,2024-05-08 12:29:46,NSE,2525.4,2525.4,2525.4,NESIND,27
2524.45,2024-05-08 12:29:47,NSE,2524.45,2524.45,2524.45,NESIND,16
2525.4,2024-05-08 12:29:48,NSE,2525.4,2525.4,2525.4,NESIND,4
2525.4,2024-05-08 12:29:49,NSE,2525.4,2525.4,2525.4,NESIND,0
2525.4,2024-05-08 12:29:51,NSE,2525.4,2525.4,2525.4,NESIND,0
2524.5,2024-05-08 12:29:52,NSE,2524.5,2524.5,2524.5,NESIND,5
2524.5,2024-05-08 12:29:53,NSE,2524.5,2524.5,2524.5,NESIND,231
2524.6,2024-05-08 12:29:54,NSE,2524.6,2524.6,2524.6,NESIND,7
2524.6,2024-05-08 12:29:55,NSE,2524.6,2524.6,2524.6,NESIND,2
2524.6,2024-05-08 12:29:56,NSE,2524.6,2524.6,2524.6,NESIND,0
2524.6,2024-05-08 12:29:57,NSE,2524.6,2524.6,2524.6,NESIND,0
2524.6,2024-05-08 12:29:58,NSE,2524.6,2524.6,2524.6,NESIND,0
2524.6,2024-05-08 12:29:59,NSE,2524.6,2524.6,2524.6,NESIND,0
2525.0,2024-05-08 12:30:00,NSE,2525.0,2525.0,2525.0,NESIND,235
2525.0,2024-05-08 12:30:00,NSE,2525.0,2525.0,2525.0,NESIND,235
2524.75,2024-05-08 12:30:01,NSE,2524.75,2524.75,2524.75,NESIND,42
2525.0,2024-05-08 12:30:02,NSE,2525.0,2525.0,2525.0,NESIND,2
2524.95,2024-05-08 12:30:03,NSE,2524.95,2524.95,2524.95,NESIND,1
2524.95,2024-05-08 12:30:04,NSE,2524.95,2524.95,2524.95,NESIND,0
