datetime,ltp,qty
1718346244298,94.0,50
1718346245134,94.0,100
1718346245732,93.85,25
1718346246326,94.35,25
1718346246899,94.25,25
1718346247308,94.0,100
1718346247569,94.0,25
1718346248317,93.85,200
1718346248398,93.85,100
1718346249331,94.05,25
1718346249488,94.05,25
1718346250325,94.8,25
1718346250529,94.55,25
1718346251052,94.55,75
1718346251552,94.2,25
1718346252165,94.25,25
1718346252165,94.25,25
1718346253017,94.4,50
1718346253745,94.45,100
1718346254163,94.3,25
1718346254366,94.45,50
1718346255336,94.3,25
1718346255727,94.25,25
1718346256075,94.5,225
1718346256895,94.6,100
1718346256895,94.6,100
1718346256895,94.6,100
1718346258305,94.35,25
1718346258549,94.35,100
1718346259338,94.4,25
1718346259772,94.05,25
1718346260222,94.15,25
1718346260871,94.45,25
1718346261328,94.25,25
1718346261879,94.65,25
1718346262102,94.7,25
1718346262993,94.7,25
1718346263166,94.7,25
1718346263530,94.6,250
1718346264275,94.55,25
1718346264563,94.4,100
1718346265260,94.6,25
1718346265643,94.6,50
1718346266272,94.6,25
1718346266687,94.5,25
1718346267340,94.45,25
1718346268000,94.5,25
1718346268318,94.4,100
1718346268507,94.55,25
1718346269255,94.6,50
1718346269255,94.6,50
1718346270108,94.65,75
1718346270251,94.85,25
1718346270416,94.75,50
