name,avg_return,avg_volatility,len,interval,period
CREDITACC,0.1772,2.1309,245,1d,1y
CREST,0.3847,3.6532,245,1d,1y
CRISIL,0.1325,1.6927,246,1d,1y
CROMPTON,0.0049,1.6499,246,1d,1y
CROWN,0.6874,2.6598,245,1d,1y
CSBBANK,0.1485,1.9209,246,1d,1y
CSLFINANCE,0.3202,3.2259,246,1d,1y
CTE,0.2503,3.862,245,1d,1y
CUB,0.0865,1.8717,246,1d,1y
CUBEXTUB,0.4595,3.0275,245,1d,1y
CUMMINSIND,0.2791,1.615,245,1d,1y
CUPID,-0.3,19.2554,246,1d,1y
CYBERMEDIA,0.1507,3.814,246,1d,1y
CYBERTECH,0.1067,3.1431,246,1d,1y
CYIENT,0.2743,2.5664,245,1d,1y
CYIENTDLM,0.2796,2.7343,186,1d,1y
DABUR,-0.0211,1.1393,246,1d,1y
DALBHARAT,-0.0101,1.6839,246,1d,1y
DALMIASUG,0.0183,2.1241,245,1d,1y
DAMODARIND,0.0834,3.1178,245,1d,1y
DANGEE,-0.242,3.359,245,1d,1y
DATAMATICS,0.3067,3.5657,246,1d,1y
DATAPATTNS,0.2314,2.8815,246,1d,1y
DAVANGERE,-0.2074,5.8879,52,1d,1y
DBCORP,0.4057,3.0203,245,1d,1y
DBL,0.3847,3.2946,246,1d,1y
DBOL,-0.0459,2.0833,245,1d,1y
DBREALTY,0.3818,3.8215,246,1d,1y
DBSTOCKBRO,0.2845,4.206,245,1d,1y
DCAL,0.2218,3.2059,246,1d,1y
DCBBANK,0.0811,2.0184,246,1d,1y
DCI,0.2616,3.0407,245,1d,1y
DCM,0.039,2.8774,245,1d,1y
DCMFINSERV,0.0478,3.1858,245,1d,1y
DCMNVL,0.0672,3.144,245,1d,1y
DCMSHRIRAM,0.0497,2.1007,246,1d,1y
DCMSRIND,0.4238,3.2326,245,1d,1y
DCW,0.089,2.9238,246,1d,1y
DCXINDIA,0.2472,3.2645,246,1d,1y
DECCANCE,0.1352,1.7044,245,1d,1y
DEEPAKFERT,-0.0622,2.2156,246,1d,1y
DEEPAKNTR,0.0871,1.704,246,1d,1y
DEEPENR,0.2128,3.1555,245,1d,1y
DEEPINDS,0.3049,2.682,245,1d,1y
DELHIVERY,0.1458,2.0808,246,1d,1y
DELPHIFX,-0.1293,3.1125,245,1d,1y
DELTACORP,-0.1742,3.1741,246,1d,1y
DELTAMAGNT,0.1045,3.5684,246,1d,1y
DEN,0.2327,2.9458,246,1d,1y
DENORA,0.1921,3.6024,245,1d,1y
DEVIT,0.0922,2.938,245,1d,1y
DEVYANI,0.02,1.9456,246,1d,1y
DGCONTENT,0.149,3.0724,245,1d,1y
DHAMPURSUG,-0.0158,2.127,246,1d,1y
DHANBANK,0.4281,3.6139,246,1d,1y
DHANI,0.0296,3.0073,246,1d,1y
DHANUKA,0.2568,2.0764,245,1d,1y
DHARMAJ,0.1354,2.4903,246,1d,1y
DHRUV,0.3035,3.2702,245,1d,1y
DHUNINV,0.2735,3.2986,246,1d,1y
DIACABS,0.4845,13.7746,245,1d,1y
DIAMINESQ,0.0569,2.5234,133,1d,1y
DIAMONDYD,0.0918,2.6159,246,1d,1y
DICIND,0.029,2.1403,245,1d,1y
DIGIDRIVE,-1.6035,3.6042,62,1d,1y
DIGISPICE,0.1245,3.4162,246,1d,1y
DIGJAMLMTD,-0.0226,2.3588,203,1d,1y
DIL,-0.2848,3.1187,246,1d,1y
DISHTV,0.1238,3.7931,246,1d,1y
DIVGIITTS,0.0841,2.5824,246,1d,1y
DIVISLAB,0.07,1.4557,246,1d,1y
DIXON,0.3948,1.9806,246,1d,1y
DJML,0.1745,2.6471,246,1d,1y
DLF,0.3217,1.7743,246,1d,1y
DLINKINDIA,0.0809,2.5494,246,1d,1y
DMART,0.1258,1.3105,246,1d,1y
DMCC,0.1006,2.7961,245,1d,1y
DNAMEDIA,0.1899,2.9703,246,1d,1y
DODLA,0.2569,2.6811,246,1d,1y
DOLATALGO,0.2574,3.4767,246,1d,1y
DOLLAR,0.1724,2.369,245,1d,1y
DOLPHIN,0.9922,6.6069,245,1d,1y
DOMS,0.3342,2.4837,75,1d,1y
DONEAR,0.0832,3.1261,246,1d,1y
DPABHUSHAN,0.5074,3.1256,246,1d,1y
DPSCLTD,0.2121,3.7767,246,1d,1y
DPWIRES,0.1561,2.8811,245,1d,1y
DRCSYSTEMS,0.1354,3.4282,245,1d,1y
DREAMFOLKS,0.0586,2.6282,246,1d,1y
DREDGECORP,0.3779,3.0566,246,1d,1y
DRREDDY,0.0923,1.2835,246,1d,1y
DSSL,0.3986,3.5059,246,1d,1y
DTIL,0.0061,2.1614,246,1d,1y
DUCON,0.07,2.8673,246,1d,1y
DVL,0.1675,3.1699,246,1d,1y
DWARKESH,-0.078,1.8642,246,1d,1y
DYCL,0.3463,3.3447,246,1d,1y
DYNAMATECH,0.4506,2.7849,246,1d,1y
DYNPRO,0.0304,2.7506,246,1d,1y
E2E,0.693,3.0699,245,1d,1y
EASEMYTRIP,-0.0032,2.3546,246,1d,1y
ECLERX,0.2447,2.4078,246,1d,1y
EDELWEISS,0.37,3.1164,246,1d,1y
EDUCOMP,0.3366,2.7893,246,1d,1y
EICHERMOT,0.1191,1.5515,246,1d,1y
EIDPARRY,0.077,1.8728,246,1d,1y
EIFFL,-0.0456,2.1765,245,1d,1y
EIHAHOTELS,0.2213,2.324,246,1d,1y
