time,ltp,volume
2024-06-21 13:41:12.449,143.3,25
2024-06-21 13:41:13.267,144.1,125
2024-06-21 13:41:13.695,143.85,25
2024-06-21 13:41:14.269,143.85,25
2024-06-21 13:41:14.697,144.25,25
2024-06-21 13:41:15.392,144.4,200
2024-06-21 13:41:15.708,144.55,100
2024-06-21 13:41:16.668,144.75,25
2024-06-21 13:41:16.886,144.8,25
2024-06-21 13:41:17.508,145.55,75
2024-06-21 13:41:17.835,146.1,25
2024-06-21 13:41:18.704,145.85,275
2024-06-21 13:41:18.890,145.85,25
2024-06-21 13:41:19.676,145.9,75
2024-06-21 13:41:20.532,146.0,25
2024-06-21 13:41:21.672,146.15,150
2024-06-21 13:41:21.913,146.15,50
2024-06-21 13:41:22.563,146.35,575
2024-06-21 13:41:22.904,146.5,25
2024-06-21 13:41:23.547,146.2,25
2024-06-21 13:41:23.863,146.2,50
2024-06-21 13:41:24.640,146.5,300
2024-06-21 13:41:25.067,146.1,25
2024-06-21 13:41:25.715,146.05,25
2024-06-21 13:41:26.708,145.9,250
2024-06-21 13:41:26.838,146.0,250
2024-06-21 13:41:27.432,146.0,50
2024-06-21 13:41:27.526,146.0,25
2024-06-21 13:41:28.700,146.25,25
2024-06-21 13:41:28.859,146.3,200
2024-06-21 13:41:29.497,146.9,50
2024-06-21 13:41:29.560,146.65,25
2024-06-21 13:41:30.224,146.85,25
2024-06-21 13:41:30.531,147.35,25
2024-06-21 13:41:30.679,147.5,300
2024-06-21 13:41:31.682,147.45,50
2024-06-21 13:41:32.570,146.75,75
2024-06-21 13:41:33.650,147.0,25
2024-06-21 13:41:33.918,147.45,25
2024-06-21 13:41:34.707,148.0,25
2024-06-21 13:41:34.905,148.0,225
2024-06-21 13:41:35.698,147.5,400
2024-06-21 13:41:35.816,147.55,50
2024-06-21 13:41:36.582,147.6,150
2024-06-21 13:41:37.134,147.55,25
2024-06-21 13:41:37.134,147.55,25
2024-06-21 13:41:37.699,147.3,75
2024-06-21 13:41:38.510,147.0,1450
2024-06-21 13:41:38.510,147.0,1450
2024-06-21 13:41:39.383,147.15,50
2024-06-21 13:41:39.592,147.25,25
2024-06-21 13:41:40.524,146.9,25
2024-06-21 13:41:40.677,146.95,75
2024-06-21 13:41:41.482,146.8,50
2024-06-21 13:41:41.482,146.8,50
2024-06-21 13:41:42.507,146.85,175
2024-06-21 13:41:42.507,146.85,175
2024-06-21 13:41:42.965,146.7,75
2024-06-21 13:41:42.965,146.7,75
2024-06-21 13:41:44.704,147.0,150
2024-06-21 13:41:45.456,147.0,200
2024-06-21 13:41:45.667,147.05,175
2024-06-21 13:41:46.702,147.35,50
2024-06-21 13:41:47.138,147.5,25
2024-06-21 13:41:47.712,147.5,25
2024-06-21 13:41:48.213,147.45,175
2024-06-21 13:41:49.545,147.5,50
2024-06-21 13:41:49.545,147.5,50
2024-06-21 13:41:50.684,147.85,75
2024-06-21 13:41:50.917,147.6,100
2024-06-21 13:41:51.435,147.75,50
2024-06-21 13:41:51.920,147.55,25
2024-06-21 13:41:52.392,147.25,25
2024-06-21 13:41:52.392,147.25,25
2024-06-21 13:41:52.392,147.25,25
2024-06-21 13:41:54.323,147.0,50
2024-06-21 13:41:54.427,147.35,25
2024-06-21 13:41:54.713,147.35,50
2024-06-21 13:41:55.457,146.75,25
2024-06-21 13:41:55.597,147.15,100
2024-06-21 13:41:56.526,146.9,50
2024-06-21 13:41:56.698,147.05,25
2024-06-21 13:41:57.458,147.3,50
2024-06-21 13:41:57.691,147.3,25
2024-06-21 13:41:58.676,147.8,100
2024-06-21 13:41:58.764,148.0,25
2024-06-21 13:41:59.758,148.05,25
2024-06-21 13:42:00.228,147.85,50
2024-06-21 13:42:00.732,148.05,200
2024-06-21 13:42:00.931,148.15,25
2024-06-21 13:42:01.465,148.6,25
2024-06-21 13:42:01.465,148.6,25
2024-06-21 13:42:02.445,148.6,25
2024-06-21 13:42:02.752,148.45,25
2024-06-21 13:42:03.329,148.1,25
2024-06-21 13:42:04.632,148.15,50
2024-06-21 13:42:05.667,148.0,50
2024-06-21 13:42:05.941,148.2,25
2024-06-21 13:42:06.657,147.7,50
2024-06-21 13:42:06.802,147.7,25
2024-06-21 13:42:07.651,147.35,50
2024-06-21 13:42:07.651,147.35,50
2024-06-21 13:42:08.051,147.35,75
2024-06-21 13:42:08.690,147.2,200
2024-06-21 13:42:09.725,147.3,50
2024-06-21 13:42:10.720,147.4,50
2024-06-21 13:42:10.720,147.4,50
2024-06-21 13:42:11.682,146.9,25
2024-06-21 13:42:11.762,147.15,50
2024-06-21 13:42:12.769,146.85,225
2024-06-21 13:42:12.769,146.85,225
2024-06-21 13:42:13.446,146.65,50
2024-06-21 13:42:13.753,146.5,25
2024-06-21 13:42:14.513,147.2,25
2024-06-21 13:42:14.848,147.2,25
2024-06-21 13:42:15.207,146.65,50
2024-06-21 13:42:15.646,147.1,200
2024-06-21 13:42:16.589,147.45,25
2024-06-21 13:42:16.589,147.45,25
2024-06-21 13:42:17.534,147.5,25
2024-06-21 13:42:18.296,147.55,50
2024-06-21 13:42:18.462,147.35,75
2024-06-21 13:42:19.735,147.4,75
2024-06-21 13:42:20.728,147.45,25
2024-06-21 13:42:20.755,147.4,75
2024-06-21 13:42:21.807,147.4,25
2024-06-21 13:42:22.546,147.4,50
2024-06-21 13:42:22.810,147.25,25
2024-06-21 13:42:23.406,147.2,25
2024-06-21 13:42:23.406,147.2,25
2024-06-21 13:42:24.438,147.25,300
2024-06-21 13:42:24.711,147.45,50
2024-06-21 13:42:25.720,147.1,200
2024-06-21 13:42:26.353,147.15,25
2024-06-21 13:42:26.721,146.9,125
2024-06-21 13:42:27.669,146.05,250
2024-06-21 13:42:28.393,146.8,175
2024-06-21 13:42:29.265,146.55,125
2024-06-21 13:42:29.265,146.55,125
2024-06-21 13:42:30.247,146.7,25
2024-06-21 13:42:30.662,146.5,25
2024-06-21 13:42:30.662,146.5,25
2024-06-21 13:42:31.457,146.85,50
2024-06-21 13:42:32.020,147.2,25
2024-06-21 13:42:32.431,146.75,25
2024-06-21 13:42:32.685,147.0,150
2024-06-21 13:42:33.299,147.75,50
2024-06-21 13:42:33.982,148.0,25
2024-06-21 13:42:34.768,147.95,25
2024-06-21 13:42:35.219,148.3,25
2024-06-21 13:42:35.601,148.45,25
2024-06-21 13:42:35.750,148.15,75
2024-06-21 13:42:36.605,148.55,25
2024-06-21 13:42:36.680,148.6,50
2024-06-21 13:42:37.420,148.75,25
2024-06-21 13:42:37.660,148.75,50
2024-06-21 13:42:38.725,148.55,50
2024-06-21 13:42:38.831,148.5,25
2024-06-21 13:42:39.723,148.8,200
2024-06-21 13:42:40.154,149.05,25
2024-06-21 13:42:40.554,149.2,50
2024-06-21 13:42:40.785,148.85,25
2024-06-21 13:42:41.614,148.95,25
2024-06-21 13:42:41.614,148.95,25
2024-06-21 13:42:42.391,148.7,100
2024-06-21 13:42:42.750,148.85,200
2024-06-21 13:42:43.764,148.45,25
2024-06-21 13:42:44.768,148.5,25
2024-06-21 13:42:44.823,148.5,25
2024-06-21 13:42:45.683,148.2,25
2024-06-21 13:42:46.562,148.3,75
2024-06-21 13:42:47.551,148.4,50
2024-06-21 13:42:47.551,148.4,50
2024-06-21 13:42:48.622,148.1,200
2024-06-21 13:42:48.686,148.2,50
2024-06-21 13:42:49.629,148.8,25
2024-06-21 13:42:49.760,148.85,25
2024-06-21 13:42:50.392,148.65,50
2024-06-21 13:42:50.711,148.6,50
2024-06-21 13:42:51.606,148.45,50
2024-06-21 13:42:51.711,148.4,25
2024-06-21 13:42:52.632,149.0,25
2024-06-21 13:42:52.632,149.0,25
2024-06-21 13:42:53.652,149.15,25
2024-06-21 13:42:54.653,149.55,150
2024-06-21 13:42:54.653,149.55,150
2024-06-21 13:42:55.591,148.7,25
2024-06-21 13:42:55.715,149.0,75
2024-06-21 13:42:56.745,148.7,200
2024-06-21 13:42:57.548,148.75,75
2024-06-21 13:42:57.850,148.8,25
2024-06-21 13:42:58.683,148.8,75
2024-06-21 13:42:58.918,148.85,50
2024-06-21 13:42:59.655,149.3,50
2024-06-21 13:43:00.267,149.35,25
2024-06-21 13:43:00.610,149.9,25
2024-06-21 13:43:00.709,149.75,375
2024-06-21 13:43:01.607,150.0,25
2024-06-21 13:43:01.747,149.75,100
2024-06-21 13:43:02.689,150.55,50
2024-06-21 13:43:03.625,149.8,25
2024-06-21 13:43:03.710,149.8,25
2024-06-21 13:43:04.641,150.15,25
2024-06-21 13:43:04.727,150.0,50
2024-06-21 13:43:05.779,149.85,75
2024-06-21 13:43:06.606,149.6,25
2024-06-21 13:43:06.751,150.0,25
2024-06-21 13:43:07.622,150.15,25
2024-06-21 13:43:07.782,150.35,25
2024-06-21 13:43:08.751,150.75,25
2024-06-21 13:43:09.682,150.25,25
2024-06-21 13:43:09.697,150.35,75
2024-06-21 13:43:10.615,150.55,25
2024-06-21 13:43:10.736,150.3,25
2024-06-21 13:43:11.805,150.9,25
2024-06-21 13:43:11.852,150.85,50
2024-06-21 13:43:12.716,150.65,25
2024-06-21 13:43:12.716,150.65,25
2024-06-21 13:43:13.765,151.0,50
2024-06-21 13:43:14.063,151.75,25
2024-06-21 13:43:14.782,151.55,50
2024-06-21 13:43:15.110,151.25,25
2024-06-21 13:43:15.797,152.55,25
2024-06-21 13:43:16.437,152.1,150
2024-06-21 13:43:16.638,151.75,25
2024-06-21 13:43:16.792,151.85,25
2024-06-21 13:43:17.391,152.15,25
2024-06-21 13:43:18.613,151.55,25
2024-06-21 13:43:19.667,151.45,150
2024-06-21 13:43:19.772,151.4,50
2024-06-21 13:43:20.787,151.45,25
2024-06-21 13:43:20.787,151.45,25
2024-06-21 13:43:21.809,151.55,25
2024-06-21 13:43:21.831,151.4,75
2024-06-21 13:43:22.671,151.65,25
2024-06-21 13:43:23.044,151.4,50
2024-06-21 13:43:23.806,151.35,25
2024-06-21 13:43:24.237,151.75,25
2024-06-21 13:43:24.624,151.6,25
2024-06-21 13:43:24.746,151.65,25
2024-06-21 13:43:25.695,151.35,25
2024-06-21 13:43:25.730,151.65,25
2024-06-21 13:43:26.798,151.4,75
2024-06-21 13:43:26.902,151.65,25
2024-06-21 13:43:27.428,152.0,100
2024-06-21 13:43:28.048,152.3,150
2024-06-21 13:43:28.791,152.0,25
2024-06-21 13:43:29.001,152.25,25
2024-06-21 13:43:29.697,152.85,125
2024-06-21 13:43:30.105,152.55,50
2024-06-21 13:43:30.260,152.95,50
2024-06-21 13:43:30.781,152.75,25
2024-06-21 13:43:31.111,153.1,25
2024-06-21 13:43:31.798,155.65,150
2024-06-21 13:43:32.457,154.0,25
2024-06-21 13:43:33.132,153.7,25
2024-06-21 13:43:33.959,153.65,25
2024-06-21 13:43:34.073,153.65,75
2024-06-21 13:43:34.767,153.75,50
2024-06-21 13:43:34.916,153.95,50
2024-06-21 13:43:35.919,153.25,75
2024-06-21 13:43:36.772,153.45,50
2024-06-21 13:43:37.138,153.15,25
2024-06-21 13:43:37.492,152.8,50
2024-06-21 13:43:38.149,153.15,50
2024-06-21 13:43:38.695,152.6,300
2024-06-21 13:43:38.789,152.8,25
2024-06-21 13:43:39.703,153.0,25
2024-06-21 13:43:40.700,153.5,25
2024-06-21 13:43:40.700,153.5,25
2024-06-21 13:43:41.785,154.0,25
2024-06-21 13:43:42.711,154.1,125
2024-06-21 13:43:43.681,154.8,50
2024-06-21 13:43:43.809,154.6,150
2024-06-21 13:43:44.790,154.35,25
2024-06-21 13:43:44.922,154.1,25
2024-06-21 13:43:45.672,154.25,200
2024-06-21 13:43:45.915,153.95,25
2024-06-21 13:43:46.796,153.35,450
2024-06-21 13:43:46.907,153.25,25
2024-06-21 13:43:47.716,153.25,200
2024-06-21 13:43:47.716,153.25,200
2024-06-21 13:43:48.775,153.0,100
2024-06-21 13:43:49.155,153.1,25
2024-06-21 13:43:49.748,153.0,25
2024-06-21 13:43:50.119,152.7,25
2024-06-21 13:43:50.806,152.7,500
2024-06-21 13:43:51.762,152.7,25
2024-06-21 13:43:52.749,152.9,200
2024-06-21 13:43:52.749,152.9,200
2024-06-21 13:43:53.945,152.6,175
2024-06-21 13:43:54.745,151.9,125
2024-06-21 13:43:55.808,152.15,50
2024-06-21 13:43:55.917,151.8,75
2024-06-21 13:43:56.806,151.75,25
2024-06-21 13:43:56.901,151.75,25
2024-06-21 13:43:57.743,152.3,50
2024-06-21 13:43:57.743,152.3,50
2024-06-21 13:43:58.803,152.4,25
2024-06-21 13:43:59.664,152.5,25
2024-06-21 13:43:59.664,152.5,25
2024-06-21 13:44:00.252,152.4,25
2024-06-21 13:44:00.815,153.0,50
2024-06-21 13:44:00.815,153.0,50
2024-06-21 13:44:01.703,153.15,25
2024-06-21 13:44:01.968,152.7,100
2024-06-21 13:44:02.659,152.3,50
2024-06-21 13:44:03.011,152.25,50
2024-06-21 13:44:03.772,152.2,25
2024-06-21 13:44:04.147,151.95,25
2024-06-21 13:44:04.755,151.5,25
2024-06-21 13:44:05.296,151.25,75
2024-06-21 13:44:05.826,151.0,200
2024-06-21 13:44:06.356,151.65,50
2024-06-21 13:44:06.807,151.75,25
2024-06-21 13:44:07.724,151.55,100
2024-06-21 13:44:08.758,151.8,75
2024-06-21 13:44:09.727,152.1,150
2024-06-21 13:44:09.940,152.2,150
2024-06-21 13:44:10.597,152.45,25
2024-06-21 13:44:10.980,152.3,100
2024-06-21 13:44:11.828,151.9,25
2024-06-21 13:44:11.912,152.2,25
2024-06-21 13:44:12.688,151.4,25
2024-06-21 13:44:13.083,151.6,25
2024-06-21 13:44:13.718,151.8,25
2024-06-21 13:44:14.374,152.2,25
2024-06-21 13:44:14.611,151.8,50
2024-06-21 13:44:14.611,151.8,50
2024-06-21 13:44:15.826,151.65,150
2024-06-21 13:44:15.948,151.95,100
2024-06-21 13:44:16.799,151.7,25
2024-06-21 13:44:16.948,151.55,125
2024-06-21 13:44:17.484,151.6,25
2024-06-21 13:44:17.807,151.35,75
2024-06-21 13:44:18.804,151.8,300
2024-06-21 13:44:19.661,151.0,200
2024-06-21 13:44:19.934,151.0,25
2024-06-21 13:44:20.689,149.5,100
2024-06-21 13:44:21.143,149.75,25
2024-06-21 13:44:22.001,149.4,25
2024-06-21 13:44:22.069,149.75,75
2024-06-21 13:44:22.474,150.1,75
2024-06-21 13:44:22.907,149.65,350
2024-06-21 13:44:23.691,149.65,50
2024-06-21 13:44:24.200,149.35,200
2024-06-21 13:44:24.835,148.75,175
2024-06-21 13:44:25.373,148.7,75
2024-06-21 13:44:25.824,148.95,25
2024-06-21 13:44:26.765,148.75,25
2024-06-21 13:44:26.967,148.6,25
2024-06-21 13:44:27.673,148.85,25
2024-06-21 13:44:27.967,149.0,25
2024-06-21 13:44:28.829,149.2,25
2024-06-21 13:44:28.942,149.1,25
2024-06-21 13:44:29.834,149.2,100
2024-06-21 13:44:30.182,149.35,25
2024-06-21 13:44:30.212,149.3,25
2024-06-21 13:44:30.755,149.95,50
2024-06-21 13:44:31.154,150.0,50
2024-06-21 13:44:31.768,150.15,25
2024-06-21 13:44:32.530,150.55,25
2024-06-21 13:44:32.530,150.55,25
2024-06-21 13:44:33.841,150.9,25
2024-06-21 13:44:33.987,150.65,200
2024-06-21 13:44:34.563,150.85,25
2024-06-21 13:44:35.786,150.55,25
2024-06-21 13:44:35.786,150.55,25
2024-06-21 13:44:36.752,150.1,100
2024-06-21 13:44:36.913,150.1,25
2024-06-21 13:44:37.266,150.0,25
2024-06-21 13:44:37.266,150.0,25
2024-06-21 13:44:38.759,149.4,25
2024-06-21 13:44:38.759,149.4,25
2024-06-21 13:44:39.782,149.35,25
2024-06-21 13:44:40.684,149.7,25
2024-06-21 13:44:41.468,149.7,75
2024-06-21 13:44:41.850,149.6,25
2024-06-21 13:44:42.775,149.7,25
2024-06-21 13:44:42.932,149.85,50
2024-06-21 13:44:43.718,150.0,225
2024-06-21 13:44:44.264,150.0,25
