name,avg_return,avg_volatility,len,interval,period
BHANDARI,0.0,0.5375,2221,1m,7d
BHARATFORG,0.0013,0.0927,2621,1m,7d
BHARATGEAR,0.0045,0.326,1059,1m,7d
BHARATRAS,0.0082,0.247,893,1m,7d
BHARATWIRE,-0.0033,0.4621,1534,1m,7d
BHARTIARTL,0.001,0.0757,2622,1m,7d
BHARTIHEXA,0.1077,1.5925,332,1m,7d
BHEL,0.0018,0.1028,2622,1m,7d
BIGBLOC,-0.0019,0.1879,1990,1m,7d
BIKAJI,0.0011,0.1116,2511,1m,7d
BIL,0.0178,0.5166,1678,1m,7d
BINANIIND,-0.0069,1.4987,283,1m,7d
BIOCON,0.0004,0.0962,2619,1m,7d
BIOFILCHEM,-0.0032,0.4445,1051,1m,7d
BIRLACABLE,0.0015,0.2057,2112,1m,7d
BIRLACORPN,0.0003,0.1405,2619,1m,7d
BIRLAMONEY,0.0008,0.543,1490,1m,7d
BKMINDST,0.0805,1.5162,36,1m,7d
BLAL,0.0002,0.2146,2017,1m,7d
BLBLIMITED,-0.0263,0.4509,1154,1m,7d
BLISSGVS,-0.0023,0.1611,1878,1m,7d
BLKASHYAP,-0.0023,0.2041,1899,1m,7d
BLS,-0.0002,0.1237,2619,1m,7d
BLSE,-0.0004,0.1474,2542,1m,7d
BLUECHIP,0.0385,0.2554,270,1m,7d
BLUEDART,-0.0002,0.0999,2403,1m,7d
BLUEJET,0.0012,0.2073,2144,1m,7d
BLUESTARCO,0.0025,0.1512,2620,1m,7d
BODALCHEM,0.0005,0.1738,2398,1m,7d
BOHRAIND,-0.0074,1.8483,400,1m,7d
BOMDYEING,-0.0,0.165,2505,1m,7d
BOROLTD,-0.0009,0.1562,2278,1m,7d
BORORENEW,0.0001,0.1388,2611,1m,7d
BOSCHLTD,-0.0011,0.0729,2619,1m,7d
BPCL,-0.0006,0.0963,2622,1m,7d
BPL,-0.0025,0.2298,2046,1m,7d
BRIGADE,0.0018,0.1325,2595,1m,7d
BRITANNIA,-0.0009,0.0555,2619,1m,7d
BRNL,-0.0013,0.5751,616,1m,7d
BROOKS,0.0039,0.8373,340,1m,7d
BSE,0.0013,0.1536,2621,1m,7d
BSHSL,-0.0079,0.3586,1444,1m,7d
BSL,0.0051,0.6431,635,1m,7d
BSOFT,-0.0016,0.1037,2622,1m,7d
BTML,-0.002,0.3515,2285,1m,7d
BURNPUR,0.0092,0.667,1457,1m,7d
BUTTERFLY,0.0023,0.3136,1328,1m,7d
BVCL,0.1111,0.7218,41,1m,7d
BYKE,0.0095,0.4175,1261,1m,7d
CALSOFT,0.0067,1.0494,776,1m,7d
CAMLINFINE,0.0041,0.2191,2522,1m,7d
CAMPUS,0.0015,0.0996,2612,1m,7d
CAMS,-0.0008,0.1437,2620,1m,7d
CANBK,0.0009,0.077,2622,1m,7d
CANFINHOME,-0.0002,0.1128,2586,1m,7d
CANTABIL,-0.0,0.2162,1508,1m,7d
CAPACITE,0.0032,0.2021,2591,1m,7d
CAPITALSFB,-0.0001,0.137,1923,1m,7d
CAPLIPOINT,-0.0007,0.1113,2438,1m,7d
CAPTRUST,-0.0044,0.4872,1360,1m,7d
CARBORUNIV,-0.0018,0.1353,2531,1m,7d
CAREERP,0.0053,0.6585,929,1m,7d
CARERATING,-0.0019,0.1884,1710,1m,7d
CARTRADE,0.0001,0.125,2187,1m,7d
CARYSIL,-0.0016,0.1549,2407,1m,7d
CASTROLIND,0.0025,0.1578,2621,1m,7d
CCHHL,0.0038,0.8048,1040,1m,7d
CCL,-0.0006,0.1202,2459,1m,7d
CDSL,0.0029,0.1189,2622,1m,7d
CEATLTD,-0.0008,0.1008,2583,1m,7d
CELEBRITY,0.0033,0.4927,1293,1m,7d
CELLO,0.0025,0.1127,2454,1m,7d
CENTENKA,-0.0003,0.1989,1349,1m,7d
CENTEXT,-0.0044,0.8795,537,1m,7d
CENTRALBK,0.0003,0.1272,2621,1m,7d
CENTRUM,-0.002,0.3093,2125,1m,7d
CENTUM,-0.0019,0.2408,1993,1m,7d
CENTURYPLY,-0.0008,0.1304,2528,1m,7d
CENTURYTEX,0.0024,0.1583,2557,1m,7d
CERA,0.0015,0.1306,2447,1m,7d
CEREBRAINT,0.0131,1.0646,758,1m,7d
CESC,0.0038,0.1371,2621,1m,7d
CGCL,0.0026,0.1864,2459,1m,7d
CGPOWER,-0.0015,0.0991,2621,1m,7d
CHALET,0.0002,0.1133,2565,1m,7d
CHAMBLFERT,0.0012,0.0974,2619,1m,7d
CHEMBOND,-0.0022,0.2677,904,1m,7d
CHEMCON,0.0021,0.1621,1719,1m,7d
CHEMFAB,-0.002,0.3946,1473,1m,7d
CHEMPLASTS,0.0029,0.1599,2239,1m,7d
CHENNPETRO,-0.0016,0.1263,2608,1m,7d
CHEVIOT,-0.0001,0.2495,605,1m,7d
CHOICEIN,0.0012,0.1456,2345,1m,7d
CHOLAFIN,-0.0002,0.0783,2622,1m,7d
CHOLAHLDNG,-0.0029,0.131,2354,1m,7d
